timestamp,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,나셀 내부 공기밀도(단위 부피당 질량),정상가동_스위치,강제정지시간(분),정상가동시간(분),정상요청정지시간(분),계획정비시간(분),기술대기시간(분)
2023-12-01 0:00,-0.885393626,0.464842046,-0.998639564,7.3,0,61.2,964.9,14.289,128.191,-0.99458012,0,0,13.276,-4.9,0.103973001,-4.952,0.052144232,1024.6,1.227,1,0,10,0,0,0
2023-12-01 0:10,-0.914959668,0.403545296,-0.998639564,8.2,0,61.1,964.7,14.289,128.236,-0.991763073,0,0,13.697,-4.9,0.128085939,-4.951,0.052144232,1024.4,1.227,1,0,10,0,0,0
2023-12-01 0:20,-0.997440783,0.071497444,-0.989658899,6.2,0,61.3,964.5,19.545,128.297,-0.985270928,0,0,14.668,-5,0.17100058,-5.119,0.143440804,1024.2,1.227,1,0,10,0,0,0
2023-12-01 0:30,-0.96770917,0.252069358,-0.982700181,5.5,0,61.8,964.4,21.973,128.093,-0.989766271,0,0,15.1,-5,0.142698033,-5.147,0.185203549,1024.1,1.228,1,0,10,0,0,0
2023-12-01 0:40,-0.962691746,0.270600446,-0.982700181,6.1,0,62.3,964.3,21.973,127.994,-0.990750209,0,0,15.12,-5.1,0.135698281,-5.094,0.185203549,1024,1.227,1,0,10,0,0,0
2023-12-01 0:50,-0.783693457,0.62114778,-0.982700181,5.8,0,63.4,964.4,21.973,127.914,-0.996023981,0,0,15.226,-5.2,0.089085521,-5.091,0.185203549,1024.2,1.227,1,0,10,0,0,0
2023-12-01 1:00,-0.791223533,0.61152704,-0.982700181,7.1,0,64.2,964.4,21.9,127.875,-0.99278876,0,0,15.559,-5.1,0.119876931,-5.153,0.185203549,1024.1,1.228,1,0,10,0,0,0
2023-12-01 1:10,-0.89571176,0.444635179,-0.982700181,7.1,0,64.8,964.1,21.973,127.81,-0.99686784,0,0,17.064,-5.2,0.079085462,-5.109,0.185203549,1023.8,1.227,1,0,10,0,0,0
2023-12-01 1:20,-0.898027576,0.43993917,-0.982700181,6.3,0,64.4,963.8,21.973,127.709,-0.999353732,0,0,16.318,-5.2,0.035946037,-5.151,0.185203549,1023.5,1.228,1,0,10,0,0,0
2023-12-01 1:30,-0.999610115,-0.027921639,-0.999318766,6.4,0,65.2,963.7,13.416,127.655,-0.999928951,0,0,16.409,-5.3,-0.011920316,-5.062,0.036905331,1023.4,1.227,1,0,10,0,0,0
