timestamp,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,나셀 내부 공기밀도(단위 부피당 질량),정상가동_스위치,강제정지시간(분),정상가동시간(분),정상요청정지시간(분),계획정비시간(분),기술대기시간(분),유효전력생산량(kWh)
2023-01-01 0:00,-0.772733573,0.634730513,-0.996982714,7.2,0,62.1,968.9,366.848,130.661,-0.990804602,0,0,19.414,-1.9,-0.135300557,-1.381,-0.077623893,1028.1,1.21,1,0,10,0,0,0,388.672
2023-01-01 0:10,-0.864274802,0.503019947,-0.996982714,6.6,0,62,968.9,366.848,128.14,-0.991203995,0,0,19.892,-1.9,-0.13234289,-1.213,-0.077623893,1028.1,1.21,1,0,10,0,0,0,388.672
2023-01-01 0:20,-0.821149209,0.570713568,-0.996982714,5.5,0,61,969,366.848,136.654,-0.997356494,0,0,17.578,-1.9,-0.072663773,-1.175,-0.077623893,1028.2,1.21,1,0,10,0,0,0,388.672
2023-01-01 0:30,-0.996492859,0.083677843,-0.996982714,8.1,0,60.8,969.1,365.625,132.058,-0.999742609,0,0,15.416,-1.9,-0.022687334,-1.386,-0.077623893,1028.3,1.211,1,0,10,0,0,0,386.719
2023-01-01 0:40,-0.999194395,0.040131793,-0.996982714,5.7,0,60.1,969,366.848,127.749,-0.999845249,0,0,15.569,-1.8,-0.017592011,-1.73,-0.077623893,1028.2,1.212,1,0,10,0,0,0,386.719
2023-01-01 0:50,-0.96174131,0.273959219,-0.996982714,6.7,0,60.3,968.9,366.848,135.242,-0.99984092,0,0,16.156,-1.9,0.017836319,-1.445,-0.077623893,1028.1,1.211,1,0,10,0,0,0,384.766
2023-01-01 1:00,-0.877146164,0.480223497,-0.996982714,8.5,0,60.2,968.9,366.848,134.2,-0.998609366,0,0,16.116,-1.7,0.052719399,-1.322,-0.077623893,1028.1,1.21,1,1.033,8.967,0,0,0,345.703
2023-01-01 1:10,-0.825113498,0.564967003,-0.996982714,7.6,0,60.5,968.8,366.848,132.472,-0.999132306,0,0,15.699,-1.7,-0.041648959,-1.255,-0.077623893,1028,1.21,0,10,0,0,0,0,0
2023-01-01 1:20,-0.874619707,0.48480962,-0.996982714,7.8,0,61,968.9,366.848,131.478,-0.999661425,0,0,15.241,-1.8,0.026019922,-1.27,-0.077623893,1028.1,1.21,0,10,0,0,0,0,0
2023-01-01 1:30,-0.853550797,0.521009632,-0.996982714,8.9,0,60.7,968.9,366.848,132.859,-0.999893299,0,0,14.946,-1.7,0.014607886,-1.375,-0.077623893,1028.1,1.21,0,10,0,0,0,0,0
