ring,lon,lat
0,129.486956,35.738403
0,129.486998,35.738319
0,129.486919,35.738295
0,129.486944,35.738264
0,129.487008,35.738259
0,129.486979,35.738197
0,129.486974,35.738016
0,129.486855,35.737895
0,129.486812,35.737873
0,129.486773,35.737898
0,129.486718,35.737958
0,129.486711,35.738168
0,129.486616,35.738183
0,129.486434,35.738167
0,129.486395,35.738217
0,129.486395,35.738263
0,129.486447,35.738316
0,129.486568,35.738397
0,129.486737,35.738439
0,129.48675,35.738388
0,129.486769,35.738388
0,129.48682,35.738453
0,129.486935,35.738467
0,129.486956,35.738403
1,129.274451,36.079613
1,129.275082,36.079224
1,129.275207,36.079217
1,129.275266,36.079214
1,129.275596,36.079195
1,129.276205,36.079159
1,129.277034,36.077825
1,129.277218,36.077234
1,129.277579,36.076636
1,129.277617,36.076623
1,129.277973,36.076496
1,129.277983,36.076493
1,129.277992,36.076488
1,129.279353,36.075701
1,129.279417,36.075
1,129.280289,36.074608
1,129.281054,36.074698
1,129.281915,36.074197
1,129.282699,36.073712
1,129.282723,36.073697
1,129.282777,36.073596
1,129.282815,36.073526
1,129.283158,36.072886
1,129.284988,36.07186
1,129.28505,36.071825
1,129.285068,36.071254
1,129.285068,36.071234
1,129.285716,36.070858
1,129.28602,36.07031
1,129.28644,36.070032
1,129.286475,36.07001
1,129.28626,36.069864
1,129.28594,36.069648
1,129.285855,36.069446
1,129.285778,36.069262
1,129.285261,36.068429
1,129.285057,36.068222
1,129.285025,36.067985
1,129.284981,36.067422
1,129.284934,36.067244
1,129.284851,36.066926
1,129.284936,36.066553
1,129.285374,36.06566
1,129.285614,36.065491
1,129.285621,36.065477
1,129.285765,36.065206
1,129.285797,36.065183
1,129.286221,36.064879
1,129.286492,36.06435
1,129.286489,36.06433
1,129.286418,36.063915
1,129.286555,36.063614
1,129.286551,36.063597
1,129.286501,36.063382
1,129.286373,36.062876
1,129.286341,36.062707
1,129.286219,36.062079
1,129.2862,36.061865
1,129.286094,36.061874
1,129.285801,36.061898
1,129.2858,36.061898
1,129.285682,36.061842
1,129.28526,36.061641
1,129.284073,36.061903
1,129.282986,36.061985
1,129.28299,36.061949
1,129.283016,36.061677
1,129.282946,36.061382
1,129.282894,36.061213
1,129.28299,36.06105
1,129.283237,36.060659
1,129.282704,36.059824
1,129.282267,36.05955
1,129.281523,36.058944
